#Parameters = {H=20; L=2000; Xcut=0.5; Z_max=0.12; Z_min=0}
#"Frequency / MHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
60.000000000000	-1.7801787635060
60.029998779297	-1.7903008846722
60.060001373291	-1.8004460918837
60.090000152588	-1.8106160806540
60.119998931885	-1.8208126342184
60.150001525879	-1.8310338860360
60.180000305176	-1.8412851868850
60.209999084473	-1.8515647157727
60.240001678467	-1.8618756004411
60.270000457764	-1.8722164453487
60.299999237061	-1.8825912415700
60.330001831055	-1.8929996042630
60.360000610352	-1.9034437209045
60.389999389648	-1.9139240144569
60.419998168945	-1.9244409067070
60.450000762939	-1.9349981001801
60.479999542236	-1.9455954854752
60.509998321533	-1.9562340375538
60.540000915527	-1.9669160221418
60.569999694824	-1.9776423674790
60.599998474121	-1.9884149234973
60.630001068115	-1.9992332169017
60.659999847412	-2.0101005168326
60.689998626709	-2.0210181986473
60.720001220703	-2.0319867869284
60.750000000000	-2.0430076638899
60.779998779297	-2.0540823574616
60.810001373291	-2.0652135438837
60.840000152588	-2.0764014161426
60.869998931885	-2.0876469546890
60.900001525879	-2.0989529255122
60.930000305176	-2.1103191187043
60.959999084473	-2.1217486642784
60.990001678467	-2.1332422994513
61.020000457764	-2.1448015465203
61.049999237061	-2.1564287883555
61.080001831055	-2.1681234803319
61.110000610352	-2.1798895509153
61.139999389648	-2.1917265989747
61.169998168945	-2.2036359387012
61.200000762939	-2.2156206694958
61.229999542236	-2.2276820667350
61.259998321533	-2.2398200071818
61.290000915527	-2.2520376561233
61.319999694824	-2.2643366956199
61.349998474121	-2.2767171639809
61.380001068115	-2.2891816730598
61.409999847412	-2.3017312029158
61.439998626709	-2.3143673837229
61.470001220703	-2.3270929368068
61.500000000000	-2.3399064045054
61.529998779297	-2.3528131730784
61.560001373291	-2.3658120004479
61.590000152588	-2.3789052497328
61.619998931885	-2.3920950825251
61.650001525879	-2.4053821084208
61.680000305176	-2.4187680695928
61.709999084473	-2.4322549705472
61.740001678467	-2.4458442576070
61.770000457764	-2.4595365431766
61.799999237061	-2.4733340833098
61.830001831055	-2.4872388709523
61.860000610352	-2.5012518807014
61.889999389648	-2.5153742650998
61.919998168945	-2.5296089254843
61.950000762939	-2.5439557837377
61.979999542236	-2.5584175223608
62.009998321533	-2.5729944306979
62.040000915527	-2.5876895761617
62.069999694824	-2.6025034512436
62.099998474121	-2.6174382390695
62.130001068115	-2.6324944988715
62.159999847412	-2.6476752528819
62.189998626709	-2.6629796737267
62.220001220703	-2.6784114940520
62.250000000000	-2.6939717614014
62.279998779297	-2.7096605148843
62.310001373291	-2.7254811521792
62.340000152588	-2.7414348720405
62.369998931885	-2.7575223472499
62.400001525879	-2.7737448270168
62.430000305176	-2.7901042183425
62.459999084473	-2.8066036557458
62.490001678467	-2.8232427809095
62.520000457764	-2.8400234122085
62.549999237061	-2.8569468549336
62.580001831055	-2.8740151845159
62.610000610352	-2.8912290813535
62.639999389648	-2.9085910948141
62.669998168945	-2.9261017838325
62.700000762939	-2.9437633309637
62.729999542236	-2.9615763402839
62.759998321533	-2.9795428667055
62.790000915527	-2.9976645208472
62.819999694824	-3.0159428417911
62.849998474121	-3.0343788962338
62.880001068115	-3.0529738251519
62.909999847412	-3.0717299877026
62.939998626709	-3.0906484028490
62.970001220703	-3.1097294162174
63.000000000000	-3.1289763275279
63.029998779297	-3.1483903986378
63.060001373291	-3.1679718922850
63.090000152588	-3.1877231507457
63.119998931885	-3.2076455292823
63.150001525879	-3.2277399818719
63.180000305176	-3.2480079070581
63.209999084473	-3.2684515744086
63.240001678467	-3.2890718172753
63.270000457764	-3.3098701278152
63.299999237061	-3.3308484472237
63.330001831055	-3.3520070584858
63.360000610352	-3.3733488228671
63.389999389648	-3.3948744991285
63.419998168945	-3.4165846774225
63.450000762939	-3.4384820756316
63.479999542236	-3.4605684366256
63.509998321533	-3.4828435642293
63.540000915527	-3.5053107198495
63.569999694824	-3.5279689240945
63.599998474121	-3.5508230317496
63.630001068115	-3.5738710501162
63.659999847412	-3.5971161347444
63.689998626709	-3.6205594063724
63.720001220703	-3.6442030173648
63.750000000000	-3.6680468197077
63.779998779297	-3.6920939035820
63.810001373291	-3.7163446499050
63.840000152588	-3.7408018122564
63.869998931885	-3.7654646886840
63.900001525879	-3.7903367203277
63.930000305176	-3.8154180080142
63.959999084473	-3.8407102800645
63.990001678467	-3.8662164686084
64.019996643066	-3.8919358775139
64.050003051758	-3.9178701197240
64.080001831055	-3.9440229390686
64.110000610352	-3.9703929566813
64.139999389648	-3.9969839954325
64.169998168945	-4.0237954376298
64.199996948242	-4.0508306018148
64.230003356934	-4.0780904445554
64.260002136230	-4.1055755941252
64.290000915527	-4.1332883242210
64.319999694824	-4.1612289954947
64.349998474121	-4.1894005867089
64.379997253418	-4.2178044620033
64.410003662109	-4.2464411832728
64.440002441406	-4.2753122740544
64.470001220703	-4.3044196223346
64.500000000000	-4.3337649377278
64.529998779297	-4.3633499637613
64.559997558594	-4.3931753105519
64.589996337891	-4.4232419441228
64.620002746582	-4.4535537608908
64.650001525879	-4.4841108018705
64.680000305176	-4.5149139285806
64.709999084473	-4.5459661986903
64.739997863770	-4.5772682831864
64.769996643066	-4.6088201678040
64.800003051758	-4.6406280554794
64.830001831055	-4.6726881298051
64.860000610352	-4.7050052070197
64.889999389648	-4.7375798952829
64.919998168945	-4.7704149247323
64.949996948242	-4.8035102239243
64.980003356934	-4.8368667881638
65.010002136230	-4.8704881450586
65.040000915527	-4.9043758047489
65.069999694824	-4.9385311440119
65.099998474121	-4.9729543293948
65.129997253418	-5.0076474024225
65.160003662109	-5.0426132479767
65.190002441406	-5.0778539848595
65.220001220703	-5.1133686852630
65.250000000000	-5.1491613748740
65.279998779297	-5.1852321909042
65.309997558594	-5.2215828507637
65.339996337891	-5.2582168064700
65.370002746582	-5.2951336493858
65.400001525879	-5.3323359306998
65.430000305176	-5.3698243371842
65.459999084473	-5.4076033373401
65.489997863770	-5.4456722776249
65.519996643066	-5.4840324564920
65.550003051758	-5.5226862848738
65.580001831055	-5.5616376463737
65.610000610352	-5.6008838718055
65.639999389648	-5.6404309993813
65.669998168945	-5.6802781542567
65.699996948242	-5.7204279207678
65.730003356934	-5.7608813360744
65.760002136230	-5.8016418252882
65.790000915527	-5.8427097025399
65.819999694824	-5.8840875754638
65.849998474121	-5.9257756518624
65.879997253418	-5.9677762217088
65.910003662109	-6.0100936972942
65.940002441406	-6.0527261588870
65.970001220703	-6.0956769082019
66.000000000000	-6.1389488057811
66.029998779297	-6.1825419625538
66.059997558594	-6.2264591442564
66.089996337891	-6.2707010455718
66.120002746582	-6.3152706641767
66.150001525879	-6.3601695029232
66.180000305176	-6.4053999002808
66.209999084473	-6.4509615913227
66.239997863770	-6.4968582080324
66.269996643066	-6.5430917688558
66.300003051758	-6.5896623104115
66.330001831055	-6.6365725465897
66.360000610352	-6.6838251296048
66.389999389648	-6.7314199929310
66.419998168945	-6.7793598646758
66.449996948242	-6.8276469362688
66.480003356934	-6.8762815437416
66.510002136230	-6.9252671186517
66.540000915527	-6.9746047509946
66.569999694824	-7.0242958760961
66.599998474121	-7.0743411039773
66.629997253418	-7.1247439678129
66.660003662109	-7.1755049367619
66.690002441406	-7.2266264359566
66.720001220703	-7.2781091789599
66.750000000000	-7.3299562412497
66.779998779297	-7.3821667379221
66.809997558594	-7.4347438247943
66.839996337891	-7.4876889708917
66.870002746582	-7.5410031319492
66.900001525879	-7.5946881800895
66.930000305176	-7.6487446064019
66.959999084473	-7.7031739836863
66.989997863770	-7.7579790054023
67.019996643066	-7.8131588308715
67.050003051758	-7.8687152525012
67.080001831055	-7.9246505159400
67.110000610352	-7.9809644839349
67.139999389648	-8.0376581973640
67.169998168945	-8.0947334135957
67.199996948242	-8.1521899418196
67.230003356934	-8.2100290194377
67.260002136230	-8.2682511141769
67.290000915527	-8.3268573893193
67.319999694824	-8.3858475571903
67.349998474121	-8.4452225940708
67.379997253418	-8.5049826967593
67.410003662109	-8.5651275220866
67.440002441406	-8.6256571168862
67.470001220703	-8.6865730047065
67.500000000000	-8.7478725378732
67.529998779297	-8.8095568007805
67.559997558594	-8.8716257274906
67.589996337891	-8.9340772939912
67.620002746582	-8.9969118008921
67.650001525879	-9.0601266472467
67.680000305176	-9.1237227078792
67.709999084473	-9.1876971838355
67.739997863770	-9.2520496956135
67.769996643066	-9.3167767993953
67.800003051758	-9.3818779804068
