#Parameters = {B=44; D_M=5.208; Feed=26.3; Feed_real=-4.3; Groudmax=0; LPiste=4.459; Largeur=29; TermA=89; Zmax=0.09; Zmin=0}
#"Frequency / MHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
700.00000000000	-0.42060228888854
700.40002441406	-0.42007270015574
700.79998779297	-0.41965189264277
701.20001220703	-0.41934352493623
701.59997558594	-0.41914774599826
702.00000000000	-0.41906742626579
702.40002441406	-0.41910340966546
702.79998779297	-0.41925732227209
703.20001220703	-0.41953082113535
703.59997558594	-0.41992440088438
704.00000000000	-0.42044129835312
704.40002441406	-0.42107977414639
704.79998779297	-0.42184205303592
705.20001220703	-0.42272983936804
705.59997558594	-0.42374334392233
706.00000000000	-0.42488290234405
706.40002441406	-0.42614935661553
706.79998779297	-0.42754411294502
707.20001220703	-0.42906607499865
707.59997558594	-0.43071747454841
708.00000000000	-0.43249786166873
708.40002441406	-0.43440682318565
708.79998779297	-0.43644542340582
709.20001220703	-0.43861348558056
709.59997558594	-0.44091136918766
710.00000000000	-0.44333871197021
710.40002441406	-0.44589569496412
710.79998779297	-0.44858107526629
711.20001220703	-0.45139628585349
711.59997558594	-0.45433972210661
712.00000000000	-0.45741134491374
712.40002441406	-0.46061030966572
712.79998779297	-0.46393748106421
713.20001220703	-0.46739131131913
713.59997558594	-0.47097160178131
714.00000000000	-0.47467651025458
714.40002441406	-0.47850737079146
714.79998779297	-0.48246163237942
715.20001220703	-0.48653837426476
715.59997558594	-0.49073788849818
716.00000000000	-0.49505935951948
716.40002441406	-0.49950029018212
716.79998779297	-0.50406064131466
717.20001220703	-0.50873940676775
717.59997558594	-0.51353530586985
718.00000000000	-0.51844686737496
718.40002441406	-0.52347337138139
718.79998779297	-0.52861342873919
719.20001220703	-0.53386517439516
719.59997558594	-0.53922836335642
720.00000000000	-0.54470091637532
720.40002441406	-0.55028173879160
720.79998779297	-0.55596884818368
721.20001220703	-0.56176156846893
721.59997558594	-0.56765790755959
722.00000000000	-0.57365656859200
722.40002441406	-0.57975627156222
722.79998779297	-0.58595459046014
723.20001220703	-0.59225186188543
723.59997558594	-0.59864409483017
724.00000000000	-0.60513168840779
724.40002441406	-0.61171185240445
724.79998779297	-0.61838259420031
725.20001220703	-0.62514354601927
725.59997558594	-0.63199233204569
726.00000000000	-0.63892661941089
726.40002441406	-0.64594642166919
726.79998779297	-0.65304941197547
727.20001220703	-0.66023364772132
727.59997558594	-0.66749719651354
728.00000000000	-0.67483772245797
728.40002441406	-0.68225566595469
728.79998779297	-0.68974751135547
729.20001220703	-0.69731211340956
729.59997558594	-0.70494792816595
730.00000000000	-0.71265261389360
730.40002441406	-0.72042543515104
730.79998779297	-0.72826481207621
731.20001220703	-0.73616763201927
731.59997558594	-0.74413349810926
732.00000000000	-0.75216158849960
732.40002441406	-0.76024768993108
732.79998779297	-0.76839243829451
733.20001220703	-0.77659343365571
733.59997558594	-0.78484958395882
734.00000000000	-0.79315875774552
734.40002441406	-0.80151909388819
734.79998779297	-0.80993087134531
735.20001220703	-0.81839064237084
735.59997558594	-0.82689792580733
736.00000000000	-0.83545096692109
736.40002441406	-0.84404922229645
736.79998779297	-0.85269008652624
737.20001220703	-0.86137304062760
737.59997558594	-0.87009623546445
738.00000000000	-0.87885933957471
738.40002441406	-0.88766048266351
738.79998779297	-0.89649818321247
739.20001220703	-0.90537215493105
739.59997558594	-0.91428039943518
740.00000000000	-0.92322237963977
740.40002441406	-0.93219740789403
740.79998779297	-0.94120367197382
741.20001220703	-0.95024087828845
741.59997558594	-0.95930834305321
742.00000000000	-0.96840430618004
742.40002441406	-0.97752844917698
742.79998779297	-0.98667982440647
743.20001220703	-0.99585874337266
743.59997558594	-1.0050636059792
744.00000000000	-1.0142938231462
744.40002441406	-1.0235481734612
744.79998779297	-1.0328278825276
745.20001220703	-1.0421319962238
745.59997558594	-1.0514593236032
746.00000000000	-1.0608105173563
746.40002441406	-1.0701839058222
746.79998779297	-1.0795804741062
747.20001220703	-1.0889994282677
747.59997558594	-1.0984412628745
748.00000000000	-1.1079058919822
748.40002441406	-1.1173922056338
748.79998779297	-1.1269018377686
749.20001220703	-1.1364335492871
749.59997558594	-1.1459881229271
750.00000000000	-1.1555658342458
750.40002441406	-1.1651670747000
750.79998779297	-1.1747927537462
751.20001220703	-1.1844407963929
751.59997558594	-1.1941152550266
752.00000000000	-1.2038134390786
752.40002441406	-1.2135380724860
752.79998779297	-1.2232889018349
753.20001220703	-1.2330670983605
753.59997558594	-1.2428730946920
754.00000000000	-1.2527074284022
754.40002441406	-1.2625718225347
754.79998779297	-1.2724663143459
755.20001220703	-1.2823922195378
755.59997558594	-1.2923511155243
756.00000000000	-1.3023433518986
756.40002441406	-1.3123707228571
756.79998779297	-1.3224342580018
757.20001220703	-1.3325354153531
757.59997558594	-1.3426751512354
758.00000000000	-1.3528540242930
758.40002441406	-1.3630758509815
758.79998779297	-1.3733403331903
759.20001220703	-1.3836500753268
