#Parameters = {B=44; D_M=5.208; Feed=26.3; Feed_real=-4.3; Groudmax=0; LPiste=4.459; Largeur=29; TermA=89; Zmax=0.09; Zmin=0}
#"Frequency / MHz"	"S1,1 [Mag]"	"S1,1 [Pha / deg]"	"Ref.Imp. [Mag]"	"Ref.Imp. [Pha / deg]"
#-----------------------------------------------------------------------------------------
700.00000000000	0.95273009840792	53.887581874965	50.000000000000	0.0000000000000
700.40002441406	0.95278818923437	53.773692849026	50.000000000000	0.0000000000000
700.79998779297	0.95283435032521	53.659008231406	50.000000000000	0.0000000000000
701.20001220703	0.95286817858821	53.543568754766	50.000000000000	0.0000000000000
701.59997558594	0.95288965636772	53.427383211103	50.000000000000	0.0000000000000
702.00000000000	0.95289846792294	53.310478282028	50.000000000000	0.0000000000000
702.40002441406	0.95289452031862	53.192868216666	50.000000000000	0.0000000000000
702.79998779297	0.95287763532628	53.074567855352	50.000000000000	0.0000000000000
703.20001220703	0.95284763185421	52.955609796956	50.000000000000	0.0000000000000
703.59997558594	0.95280445688297	52.836010034180	50.000000000000	0.0000000000000
704.00000000000	0.95274775715751	52.715784335644	50.000000000000	0.0000000000000
704.40002441406	0.95267772587131	52.594946382493	50.000000000000	0.0000000000000
704.79998779297	0.95259412197073	52.473526083594	50.000000000000	0.0000000000000
705.20001220703	0.95249676213096	52.351542462004	50.000000000000	0.0000000000000
705.59997558594	0.95238562745993	52.229013113465	50.000000000000	0.0000000000000
706.00000000000	0.95226068598392	52.105950536171	50.000000000000	0.0000000000000
706.40002441406	0.95212185084471	51.982382878087	50.000000000000	0.0000000000000
706.79998779297	0.95196897400453	51.858330946066	50.000000000000	0.0000000000000
707.20001220703	0.95180218237050	51.733805784457	50.000000000000	0.0000000000000
707.59997558594	0.95162123875378	51.608828647047	50.000000000000	0.0000000000000
708.00000000000	0.95142620052053	51.483421140858	50.000000000000	0.0000000000000
708.40002441406	0.95121712159948	51.357604869161	50.000000000000	0.0000000000000
708.79998779297	0.95099389473727	51.231384590631	50.000000000000	0.0000000000000
709.20001220703	0.95075654926352	51.104794729744	50.000000000000	0.0000000000000
709.59997558594	0.95050505643820	50.977839394156	50.000000000000	0.0000000000000
710.00000000000	0.95023946715126	50.850545130861	50.000000000000	0.0000000000000
710.40002441406	0.94995977345777	50.722931167708	50.000000000000	0.0000000000000
710.79998779297	0.94966612374901	50.595010659139	50.000000000000	0.0000000000000
711.20001220703	0.94935837439641	50.466801047710	50.000000000000	0.0000000000000
711.59997558594	0.94903671449128	50.338317792259	50.000000000000	0.0000000000000
712.00000000000	0.94870116251404	50.209577366744	50.000000000000	0.0000000000000
712.40002441406	0.94835182549587	50.080600869410	50.000000000000	0.0000000000000
712.79998779297	0.94798862437932	49.951400187546	50.000000000000	0.0000000000000
713.20001220703	0.94761174405443	49.821996029109	50.000000000000	0.0000000000000
713.59997558594	0.94722122261192	49.692397133014	50.000000000000	0.0000000000000
714.00000000000	0.94681727785352	49.562621609000	50.000000000000	0.0000000000000
714.40002441406	0.94639978173591	49.432684186091	50.000000000000	0.0000000000000
714.79998779297	0.94596903016723	49.302602706063	50.000000000000	0.0000000000000
715.20001220703	0.94552514164827	49.172390838105	50.000000000000	0.0000000000000
715.59997558594	0.94506810308245	49.042060319113	50.000000000000	0.0000000000000
716.00000000000	0.94459802243595	48.911619814525	50.000000000000	0.0000000000000
716.40002441406	0.94411519082120	48.781092693318	50.000000000000	0.0000000000000
716.79998779297	0.94361963228895	48.650493285153	50.000000000000	0.0000000000000
717.20001220703	0.94311147638984	48.519817594035	50.000000000000	0.0000000000000
717.59997558594	0.94259088273749	48.389092369473	50.000000000000	0.0000000000000
718.00000000000	0.94205803180348	48.258326442519	50.000000000000	0.0000000000000
718.40002441406	0.94151302273807	48.127534162734	50.000000000000	0.0000000000000
718.79998779297	0.94095602748409	47.996719445898	50.000000000000	0.0000000000000
719.20001220703	0.94038726961364	47.865899006668	50.000000000000	0.0000000000000
719.59997558594	0.93980679736700	47.735085081731	50.000000000000	0.0000000000000
720.00000000000	0.93921485769706	47.604276539865	50.000000000000	0.0000000000000
720.40002441406	0.93861159101886	47.473500994158	50.000000000000	0.0000000000000
720.79998779297	0.93799723372583	47.342747309933	50.000000000000	0.0000000000000
721.20001220703	0.93737188106977	47.212046045733	50.000000000000	0.0000000000000
721.59997558594	0.93673577042125	47.081391458220	50.000000000000	0.0000000000000
722.00000000000	0.93608906401716	46.950793572689	50.000000000000	0.0000000000000
722.40002441406	0.93543192225475	46.820262539522	50.000000000000	0.0000000000000
722.79998779297	0.93476462882734	46.689805824191	50.000000000000	0.0000000000000
723.20001220703	0.93408716992530	46.559428988747	50.000000000000	0.0000000000000
723.59997558594	0.93339999722610	46.429144662116	50.000000000000	0.0000000000000
724.00000000000	0.93270309003837	46.298948299411	50.000000000000	0.0000000000000
724.40002441406	0.93199677031695	46.168850461181	50.000000000000	0.0000000000000
724.79998779297	0.93128127388344	46.038862024323	50.000000000000	0.0000000000000
725.20001220703	0.93055666210106	45.908978638539	50.000000000000	0.0000000000000
725.59997558594	0.92982321143840	45.779213987328	50.000000000000	0.0000000000000
726.00000000000	0.92908119322387	45.649566369562	50.000000000000	0.0000000000000
726.40002441406	0.92833062744840	45.520044788846	50.000000000000	0.0000000000000
726.79998779297	0.92757178427548	45.390647781630	50.000000000000	0.0000000000000
727.20001220703	0.92680489228159	45.261381871647	50.000000000000	0.0000000000000
727.59997558594	0.92603017848041	45.132243313625	50.000000000000	0.0000000000000
