#Parameters = {B=55; Cut=0.5; D_M=8.1; Feed=35.7; Feed_real=-8.2; Groudmax=0; LPiste=5.4; Largeur=27; TermA=92; Zmax=0.152; Zmin=0}
#"Frequency / MHz"	"S1,1 [Magnitude / dB]"
#-----------------------------------------
700.00000000000	-0.62155933907342
700.40002441406	-0.62462877837528
700.79998779297	-0.62777476047802
701.20001220703	-0.63099631325531
701.59997558594	-0.63429474550059
702.00000000000	-0.63766910673475
702.40002441406	-0.64111997040243
702.79998779297	-0.64464826646311
703.20001220703	-0.64825336721888
703.59997558594	-0.65193482603010
704.00000000000	-0.65569452542623
704.40002441406	-0.65953127179743
704.79998779297	-0.66344542376153
705.20001220703	-0.66743689270820
705.59997558594	-0.67150513693715
706.00000000000	-0.67565150627957
706.40002441406	-0.67987468889254
706.79998779297	-0.68417512107946
707.20001220703	-0.68855231394950
707.59997558594	-0.69300671553864
708.00000000000	-0.69753863511344
708.40002441406	-0.70214574717709
708.79998779297	-0.70682945465264
709.20001220703	-0.71158938715717
709.59997558594	-0.71642566398940
710.00000000000	-0.72133728228881
710.40002441406	-0.72632399556331
710.79998779297	-0.73138615600880
711.20001220703	-0.73652309540835
711.59997558594	-0.74173363526027
712.00000000000	-0.74701868004500
712.40002441406	-0.75237692412493
712.79998779297	-0.75780905064642
713.20001220703	-0.76331493213424
713.59997558594	-0.76889168288204
714.00000000000	-0.77454011654905
714.40002441406	-0.78026143428839
714.79998779297	-0.78605325290488
715.20001220703	-0.79191557890895
715.59997558594	-0.79784892072160
716.00000000000	-0.80385105422474
716.40002441406	-0.80992278521808
716.79998779297	-0.81606429492989
717.20001220703	-0.82227295141899
717.59997558594	-0.82854978484935
718.00000000000	-0.83489443456293
718.40002441406	-0.84130633363363
718.79998779297	-0.84778270067252
719.20001220703	-0.85432665915293
719.59997558594	-0.86093423894917
720.00000000000	-0.86760744260753
720.40002441406	-0.87434499523156
720.79998779297	-0.88114649224245
721.20001220703	-0.88801028884997
721.59997558594	-0.89493800835647
722.00000000000	-0.90192635388511
722.40002441406	-0.90897773868840
722.79998779297	-0.91609014483869
723.20001220703	-0.92326278472866
723.59997558594	-0.93049556299165
724.00000000000	-0.93778796455991
724.40002441406	-0.94513884963186
724.79998779297	-0.95254952557441
725.20001220703	-0.96001871297442
725.59997558594	-0.96754424371579
726.00000000000	-0.97512806690377
726.40002441406	-0.98276826430420
726.79998779297	-0.99046524188109
727.20001220703	-0.99821758813844
727.59997558594	-1.0060263610717
728.00000000000	-1.0138891070490
728.40002441406	-1.0218072684673
728.79998779297	-1.0297802102170
729.20001220703	-1.0378063688899
729.59997558594	-1.0458860283160
730.00000000000	-1.0540189237522
730.40002441406	-1.0622062475402
730.79998779297	-1.0704441760771
731.20001220703	-1.0787358941434
731.59997558594	-1.0870787930789
732.00000000000	-1.0954732743471
732.40002441406	-1.1039201308304
732.79998779297	-1.1124170826949
733.20001220703	-1.1209661723486
733.59997558594	-1.1295655865555
734.00000000000	-1.1382156376230
734.40002441406	-1.1469160142221
734.79998779297	-1.1556663039518
735.20001220703	-1.1644672591855
735.59997558594	-1.1733187573532
736.00000000000	-1.1822198266733
736.40002441406	-1.1911701986529
736.79998779297	-1.2001715875407
737.20001220703	-1.2092223403815
737.59997558594	-1.2183231435910
738.00000000000	-1.2274738309523
738.40002441406	-1.2366742387564
738.79998779297	-1.2459249858934
739.20001220703	-1.2552256998989
739.59997558594	-1.2645761126746
740.00000000000	-1.2739775013030
740.40002441406	-1.2834285857574
740.79998779297	-1.2929319744908
741.20001220703	-1.3024849285117
741.59997558594	-1.3120889271778
742.00000000000	-1.3217443547972
742.40002441406	-1.3314514543638
742.79998779297	-1.3412113801913
743.20001220703	-1.3510220107573
743.59997558594	-1.3608861907895
744.00000000000	-1.3708032406293
744.40002441406	-1.3807744160522
744.79998779297	-1.3907986984283
745.20001220703	-1.4008766628632
745.59997558594	-1.4110097719903
746.00000000000	-1.4211983418244
746.40002441406	-1.4314428402127
746.79998779297	-1.4417428960768
747.20001220703	-1.4521011125025
747.59997558594	-1.4625158524372
748.00000000000	-1.4729889346360
748.40002441406	-1.4835204455411
748.79998779297	-1.4941118289176
749.20001220703	-1.5047637467406
749.59997558594	-1.5154755935655
750.00000000000	-1.5262490992049
750.40002441406	-1.5370855985388
750.79998779297	-1.5479860456431
751.20001220703	-1.5589488382654
751.59997558594	-1.5699781571282
752.00000000000	-1.5810722023812
752.40002441406	-1.5922328999421
752.79998779297	-1.6034616346702
753.20001220703	-1.6147596517723
753.59997558594	-1.6261262261790
754.00000000000	-1.6375640728826
754.40002441406	-1.6490731529106
754.79998779297	-1.6606546234810
755.20001220703	-1.6723098719369
755.59997558594	-1.6840401513651
756.00000000000	-1.6958472778676
756.40002441406	-1.7077306559332
756.79998779297	-1.7196925814976
757.20001220703	-1.7317334557271
757.59997558594	-1.7438554559105
758.00000000000	-1.7560592481187
758.40002441406	-1.7683467197655
758.79998779297	-1.7807179269584
759.20001220703	-1.7931757832284
759.59997558594	-1.8057198205961
760.00000000000	-1.8183536306584
760.40002441406	-1.8310767072869
760.79998779297	-1.8438901089442
761.20001220703	-1.8567970464573
761.59997558594	-1.8697980615196
762.00000000000	-1.8828950245242
762.40002441406	-1.8960891530612
762.79998779297	-1.9093816717646
763.20001220703	-1.9227738123145
763.59997558594	-1.9362673680892
764.00000000000	-1.9498649641703
764.40002441406	-1.9635671227413
764.79998779297	-1.9773757120133
765.20001220703	-1.9912919436268
765.59997558594	-2.0053177470662
766.00000000000	-2.0194555975738
766.40002441406	-2.0337061797506
766.79998779297	-2.0480707178625
767.20001220703	-2.0625529500485
767.59997558594	-2.0771530248424
768.00000000000	-2.0918720764773
768.40002441406	-2.1067133944808
768.79998779297	-2.1216782863591
769.20001220703	-2.1367680406664
769.59997558594	-2.1519852317848
770.00000000000	-2.1673311880328
770.40002441406	-2.1828079375739
770.79998779297	-2.1984174679108
771.20001220703	-2.2141617600765
771.59997558594	-2.2300422489604
772.00000000000	-2.2460609288031
772.40002441406	-2.2622198779261
772.79998779297	-2.2785210872928
773.20001220703	-2.2949668263579
773.59997558594	-2.3115584166491
774.00000000000	-2.3282986920421
774.40002441406	-2.3451884696089
774.79998779297	-2.3622312314462
775.20001220703	-2.3794272385413
775.59997558594	-2.3967820225352
